,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id
10,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,40,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-02-06 14:46:47.000000,2024-01-06 20:50:34,1694.0,14.0,462.0,68.0,496.0,79.0,293.0,2713.0,2023-01-10 13:13:43,3.2.2,48.0,491465.0,491465.0,195.0,,,85389383.0,1.0,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,85389383.0,,,,,,,
11,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,37,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-01-26 23:38:45.000000,2024-01-26 23:38:34,625.0,7.0,1197.0,309.0,157.0,335.0,428.0,22220.0,,,,997326.0,997326.0,38.0,https://www.npmjs.com/package/passport,10118554.0,10118554.0,2.0,,,,,,,,,,,,,,,,,
12,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-02-08 17:51:12.000000,2024-02-08 15:52:59,24016.0,771.0,5890.0,375.0,14277.0,1900.0,6886.0,18985.0,2024-02-02 14:15:35,23.0.6,50.0,,,1333.0,,,64269.0,1.0,quay.io/keycloak/keycloak,2442257.0,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,
13,speechbrain,https://github.com/speechbrain/speechbrain,voice,A PyTorch-based Speech Toolkit.,,,37,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-02-08 18:14:04.000000,2024-02-08 11:11:18,9646.0,59.0,1188.0,125.0,1102.0,83.0,913.0,7233.0,2023-11-22 02:28:28,0.5.16,10.0,1482.0,1482.0,228.0,,,189385.0,1.0,,,,,,,-1.0,speechbrain,https://pypi.org/project/speechbrain,189385.0,,,,,,,
14,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-02-08 18:09:20.000000,2024-02-08 18:09:18,19009.0,487.0,3885.0,826.0,19280.0,985.0,4883.0,29262.0,2024-01-30 20:59:02,1.15.5,100.0,6929.0,6929.0,1443.0,,,,2.0,,,,,,,,,,,,,,,,,
15,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],36,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-02-06 13:09:03.000000,2024-02-02 14:17:26,3778.0,47.0,1337.0,232.0,1746.0,81.0,1397.0,14918.0,2023-05-24 08:55:23,2.1.2,100.0,3.0,3.0,291.0,,,3941819.0,2.0,oryd/hydra,710076.0,https://hub.docker.com/r/oryd/hydra,2024-02-01 12:08:05.342072,75.0,412825985.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,
16,deepface,https://github.com/serengil/deepface,face,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,36,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-02-07 09:22:53.000000,2024-02-04 17:27:17,1220.0,124.0,1672.0,127.0,129.0,2.0,879.0,9148.0,2024-02-04 13:36:56,0.0.84,4.0,2541.0,2541.0,53.0,,,191299.0,1.0,,,,,,,6.0,deepface,https://pypi.org/project/deepface,191299.0,,,,,,,
17,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",,['ory'],35,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-02-08 15:41:53.000000,2024-02-07 11:52:47,4115.0,88.0,855.0,107.0,1823.0,175.0,1038.0,9878.0,2023-07-12 20:24:48,1.0.0,43.0,327.0,327.0,218.0,,,1635019.0,1.0,oryd/kratos,36906.0,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,17.0,112764384.0,,,,,https://k8s.ory.sh/helm/charts,,,,,,
18,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-02-06 06:29:59.000000,2024-02-06 06:28:39,1537.0,37.0,251.0,41.0,374.0,10.0,435.0,5388.0,2024-01-31 01:45:14,@casl/mongoose@7.2.2,100.0,65394.0,65394.0,67.0,https://www.npmjs.com/package/@casl/ability,2178129.0,2178129.0,2.0,,,,,,,,,,,,,,,,,
19,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-02-07 15:38:33.000000,2024-02-07 15:34:31,1084.0,6.0,1565.0,233.0,485.0,38.0,740.0,16480.0,2024-02-07 15:35:41,2.82.0,100.0,2722.0,2722.0,139.0,https://www.npmjs.com/package/casbin,195848.0,276912.0,2.0,,,,,,,,casbin,https://pypi.org/project/casbin,81064.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,
20,face-api-js,https://github.com/justadudewhohacks/face-api.js,face,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,34,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3530.0,336.0,109.0,432.0,390.0,15890.0,2020-03-22 14:01:55,0.22.2,38.0,8259.0,8259.0,25.0,https://www.npmjs.com/package/face-api.js,150541.0,150541.0,2.0,,,,,,,,,,,,,,,,,
21,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-02-08 16:51:54.000000,2024-02-02 14:26:58,24672.0,646.0,3827.0,606.0,4656.0,,,10671.0,2024-02-02 12:57:17,7.0.1,100.0,21.0,21.0,346.0,,,6025.0,2.0,apereo/cas,,https://hub.docker.com/r/apereo/cas,2024-02-08 00:42:03.773852,129.0,897780.0,,,,,,,,,,,
22,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,33,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-02-08 17:24:15.000000,2024-02-08 16:23:56,7936.0,634.0,547.0,59.0,5648.0,310.0,1422.0,4272.0,2024-01-09 21:11:36,ockam_v0.116.0,100.0,183.0,183.0,305.0,,,13277.0,2.0,,345214.0,,,,,,,,,,,,build-trust/ockam/ockam,,,
23,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired permissions database to enable fine-grained access control for customer..",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-02-08 17:51:14.000000,2024-02-07 17:45:52,3503.0,203.0,227.0,37.0,1300.0,99.0,318.0,4202.0,2024-02-02 17:00:01,1.29.1,66.0,45.0,45.0,41.0,,,62640.0,2.0,authzed/spicedb,44553.0,https://hub.docker.com/r/authzed/spicedb,2024-02-02 17:00:01.288986,6.0,1833141.0,2.0,,,,,,,,,,
24,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-02-08 17:06:35.000000,2024-02-06 16:53:58,3328.0,173.0,276.0,38.0,3947.0,80.0,877.0,3788.0,2024-01-10 15:55:52,0.25.0,100.0,13.0,13.0,91.0,,,19956723.0,2.0,pomerium/pomerium,51455.0,https://hub.docker.com/r/pomerium/pomerium,2024-02-06 17:41:14.981123,10.0,1217298624.0,,,,,,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,face,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-01-13 20:33:11.000000,2022-06-10 09:12:18,238.0,,12952.0,1563.0,225.0,728.0,584.0,51048.0,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,,,66983.0,2.0,animcogn/face_recognition,1224.0,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7381.0,,face_recognition,https://pypi.org/project/face_recognition,66881.0,,,,,,,
26,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,voice,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-01-16 12:11:24.000000,2024-01-16 12:11:24,4735.0,4.0,1707.0,181.0,1688.0,440.0,1347.0,9695.0,2023-04-14 09:36:52,r1.4.1,15.0,89.0,89.0,131.0,,,227860.0,3.0,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,227860.0,,,,,,,
27,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-02-08 17:53:56.000000,2024-02-08 17:52:30,6418.0,141.0,425.0,79.0,3528.0,140.0,1205.0,1606.0,2023-12-21 19:45:00,1.8.7,96.0,135.0,135.0,183.0,,,2652.0,2.0,ghcr.io/spiffe/spire-server,201616.0,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,
28,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-02-08 14:56:31.000000,2024-02-05 11:30:00,2727.0,102.0,1506.0,174.0,2034.0,286.0,802.0,8798.0,2024-01-25 14:31:22,2.38.0,81.0,148.0,148.0,231.0,,,3.0,2.0,quay.io/dexidp/dex,306.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,
29,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-02-08 18:12:09.000000,2024-02-07 20:19:00,3928.0,410.0,254.0,198.0,4047.0,79.0,247.0,3756.0,2024-01-30 23:59:36,0.15.0,50.0,8.0,8.0,154.0,,,253516.0,3.0,hashicorp/boundary,,https://hub.docker.com/r/hashicorp/boundary,2024-01-31 00:05:52.365063,12.0,12422298.0,,,,,,,,,,,
30,insightface,https://github.com/deepinsight/insightface,face,State-of-the-art 2D and 3D Face Analysis Project.,,,30,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-12-24 05:29:03.000000,2023-12-24 05:29:03,2283.0,2.0,4967.0,499.0,152.0,1014.0,1350.0,20317.0,2023-04-02 07:43:27,0.7,1.0,1617.0,1617.0,58.0,,,181851.0,2.0,animcogn/insightface,1818508.0,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,141.0,,,,,,,,,,,
31,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,30,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-02-08 12:46:41.000000,2024-02-08 12:46:40,2251.0,161.0,948.0,58.0,1375.0,98.0,1098.0,8029.0,2024-02-07 13:04:31,1.529.0,100.0,3.0,3.0,164.0,,,3141.0,2.0,casbin/casdoor,,https://hub.docker.com/r/casbin/casdoor,2024-02-07 13:10:13.151945,13.0,125668.0,,,,,,,,,,,
32,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,29,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-02-08 16:11:06.000000,2024-02-08 16:11:05,5258.0,322.0,992.0,157.0,5100.0,72.0,1101.0,18683.0,2022-12-21 09:01:04,4.37.5,100.0,,,147.0,,,681.0,2.0,,33391.0,,,,,,,,,,,,,,,
33,logto,https://github.com/logto-io/logto,idp,The better identity infrastructure for developers that works universally.,,,29,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-02-08 16:54:10.000000,2024-02-08 16:54:09,5665.0,524.0,296.0,38.0,5007.0,69.0,269.0,6813.0,2024-02-08 13:51:36,1.13.0,53.0,11.0,11.0,46.0,,,1044.0,2.0,svhd/logto,2718.0,https://hub.docker.com/r/svhd/logto,2024-02-08 13:49:59.485811,2.0,29486.0,,,,,,,,,,,
34,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-02-05 11:59:37.000000,2024-01-29 07:12:04,2391.0,10.0,1002.0,107.0,822.0,30.0,832.0,5241.0,2023-12-01 16:03:07,.5.6.8,64.0,8503.0,8503.0,315.0,,,,3.0,,,,,,,,,,,,,,,doorkeeper,,
35,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-02-05 21:36:59.000000,2024-02-02 14:13:13,1501.0,19.0,321.0,56.0,1121.0,42.0,267.0,4463.0,,,51.0,26.0,26.0,71.0,,,716756.0,3.0,oryd/keto,19739.0,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,7.0,50867519.0,,,,,,,,,,,
36,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,29,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2024-02-02 18:38:20.000000,2024-01-13 04:41:13,1213.0,13.0,163.0,30.0,1526.0,108.0,101.0,3353.0,2024-01-13 04:08:30,0.27.3,100.0,82.0,82.0,66.0,,,29005.0,3.0,,2709.0,,,,,2.0,oso,https://pypi.org/project/oso,28930.0,,,,,,,
37,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-02-06 22:17:58.000000,2024-02-06 22:17:58,3046.0,89.0,289.0,79.0,840.0,284.0,615.0,1758.0,2023-12-17 18:26:45,5.7.8,52.0,3.0,3.0,86.0,https://www.npmjs.com/package/solid-server,626.0,9321.0,1.0,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-12-17 18:38:41.970023,4.0,982537.0,5.0,,,,,,,,,,
38,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2024-02-06 14:58:02.000000,2024-01-16 18:03:51,5261.0,120.0,283.0,42.0,768.0,48.0,258.0,1266.0,2024-01-24 19:01:59,7.0.0,53.0,1634.0,1634.0,296.0,,,,3.0,,,,,,,,,,,,,,,,,
39,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-02-08 16:49:48.000000,2024-01-18 04:03:26,614.0,6.0,64.0,40.0,214.0,4.0,84.0,313.0,2024-01-18 04:03:55,8.0.0,100.0,4447.0,4447.0,41.0,https://www.npmjs.com/package/did-jwt,178539.0,178539.0,1.0,,,,,,,,,,,,,,,,,
40,faceswap,https://github.com/deepfakes/faceswap,face,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-01-26 03:06:01.000000,2024-01-12 15:14:56,1787.0,5.0,12641.0,1523.0,515.0,15.0,828.0,48430.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,3938.0,3.0,,236338.0,,,,,-2.0,,,,,,,,,,
41,deepfacelab,https://github.com/iperov/DeepFaceLab,face,DeepFaceLab is the leading software for creating deepfakes.,,,28,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9205.0,1115.0,131.0,541.0,801.0,44449.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3685.0,3.0,,173241.0,,,,,,,,,,,,,,,
42,openface,https://github.com/cmusatyalab/openface,face,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3494.0,759.0,74.0,9.0,370.0,14992.0,2016-02-25 17:42:46,0.2.1,4.0,68.0,68.0,30.0,,,1596.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161243.0,,,,,,,,,,,
43,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-02-08 16:41:10.000000,2024-02-07 23:32:35,6448.0,104.0,551.0,139.0,4394.0,192.0,2714.0,4912.0,2024-02-06 18:05:23,release-2024-02-06,100.0,,,129.0,,,20769.0,2.0,letsencrypt/boulder-tools,64174.0,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-01-17 23:45:40.135569,13.0,1963782.0,,,,,,,,,,,
44,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],28,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2024-01-31 18:15:38.000000,2023-09-08 08:05:44,1354.0,,325.0,48.0,718.0,50.0,277.0,3160.0,2023-07-18 10:23:06,0.40.6,100.0,3.0,3.0,109.0,,,1141242.0,3.0,oryd/oathkeeper,34925.0,https://hub.docker.com/r/oryd/oathkeeper,2023-07-18 10:23:05.234030,36.0,87839850.0,,,,,,,,,,,
45,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2024-02-07 11:28:20.000000,2024-02-07 11:28:19,1519.0,92.0,103.0,27.0,1612.0,44.0,282.0,2247.0,2024-01-16 08:53:43,0.33.0,56.0,21.0,21.0,26.0,,,1565.0,3.0,ghcr.io/cerbos/cerbos,54794.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,
46,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],28,True,decentralized-identity/did-resolver,did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2024-02-07 16:17:10.000000,2024-02-05 01:53:15,389.0,11.0,41.0,23.0,128.0,3.0,18.0,201.0,2023-03-08 14:05:37,4.1.0,24.0,5571.0,5571.0,24.0,https://www.npmjs.com/package/did-resolver,196411.0,196411.0,2.0,,,,,,,,,,,,,,,,,
47,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2024-02-07 16:47:42.000000,2024-02-05 00:50:07,465.0,25.0,65.0,29.0,144.0,5.0,47.0,189.0,2024-01-13 07:12:48,10.1.3,57.0,1455.0,1455.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,18892.0,18892.0,2.0,,,,,,,,,,,,,,,,,
48,whisper,https://github.com/openai/whisper,voice,Robust Speech Recognition via Large-Scale Weak Supervision.,,,27,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2024-02-07 07:07:24.000000,2023-12-18 20:11:16,136.0,4.0,6152.0,475.0,207.0,,,55589.0,2023-11-17 19:59:53,20231117,10.0,21.0,21.0,66.0,,,265608.0,3.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,265608.0,,,,,,,
49,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,27,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2024-02-08 15:01:42.000000,2024-02-07 11:44:20,2838.0,154.0,365.0,38.0,4926.0,482.0,1469.0,6177.0,2024-02-05 15:41:04,2.42.14,100.0,,,97.0,,,548.0,3.0,ghcr.io/zitadel/zitadel,2194.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,https://charts.zitadel.com,,,,,,
50,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2024-02-08 17:53:52.000000,2024-02-08 16:22:27,13593.0,634.0,449.0,33.0,6434.0,481.0,1338.0,5759.0,2024-01-29 17:26:20,ersion/2023.10.7,100.0,,,210.0,,,94.0,3.0,,2734.0,,,,,,,,,https://charts.goauthentik.io,,,,,,
