,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,trending,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id
10,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,40,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2024-02-06 14:46:47.000000,2024-01-06 20:50:34,1694.0,14.0,466.0,68.0,496.0,79.0,293.0,2731.0,2023-01-10 13:13:43,3.2.2,48.0,504973.0,504973.0,195.0,,,96721773.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,96721773.0,,,,,,,,
11,speechbrain,https://github.com/speechbrain/speechbrain,voice,A PyTorch-based Speech Toolkit.,,,38,True,speechbrain/speechbrain,,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2024-03-14 15:51:02.000000,2024-03-13 14:54:59,9701.0,91.0,1215.0,127.0,1141.0,85.0,921.0,7593.0,2024-02-26 20:54:49,1.0.0,11.0,1596.0,1596.0,230.0,,,621828.0,1.0,,,,,,,speechbrain,https://pypi.org/project/speechbrain,621828.0,,,,,,,,
12,keycloak,https://github.com/keycloak/keycloak,idp,Open Source Identity and Access Management For Modern Applications and Services.,,['cncf'],37,True,keycloak/keycloak,,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2024-03-14 18:11:53.000000,2024-03-14 15:47:07,24405.0,834.0,5991.0,374.0,14776.0,1772.0,7410.0,19360.0,2024-03-05 08:29:04,24.0.1,53.0,,,1352.0,,,65614.0,1.0,2558952.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,
13,ory-hydra,https://github.com/ory/hydra,authentication,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",,['ory'],37,True,ory/hydra,,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2024-03-14 16:54:41.000000,2024-03-13 12:23:21,3794.0,54.0,1341.0,232.0,1760.0,81.0,1403.0,15017.0,2024-02-12 11:37:33,2.2.0,100.0,3.0,3.0,291.0,,,3920690.0,2.0,733541.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2024-02-12 11:37:33.043853,75.0,414513287.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
14,deepface,https://github.com/serengil/deepface,face,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",,,37,True,serengil/deepface,,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2024-03-12 05:12:30.000000,2024-03-11 18:49:09,1316.0,193.0,1720.0,129.0,160.0,1.0,943.0,9533.0,2024-03-09 22:56:58,0.0.86,6.0,2702.0,2702.0,56.0,,,188610.0,1.0,,,,,,,deepface,https://pypi.org/project/deepface,188610.0,,7.0,,,,,,
15,vault,https://github.com/hashicorp/vault,pki,"A tool for secrets management, encryption as a service, and privileged access management.",,['hashicorp'],36,False,hashicorp/vault,,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2024-03-14 18:07:28.000000,2024-03-14 17:29:21,19248.0,550.0,3902.0,826.0,19891.0,998.0,4911.0,29434.0,2024-02-29 19:00:00,1.15.6,100.0,7017.0,7017.0,1452.0,,,,2.0,,,,,,,,,,,,,,,,,
16,passport,https://github.com/jaredhanson/passport,authentication,"Simple, unobtrusive authentication for Node.js.",,,36,True,jaredhanson/passport,passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2024-02-13 20:03:34.000000,2024-01-26 23:38:34,625.0,1.0,1202.0,310.0,157.0,339.0,428.0,22322.0,,,,1018233.0,1018233.0,38.0,https://www.npmjs.com/package/passport,10735479.0,10735479.0,2.0,,,,,,,,,,,,,,,,,
17,ory-kratos,https://github.com/ory/kratos,idp,"Next-gen identity server replacing your Auth0, Okta, Firebase with hardened security and PassKeys, SMS, OIDC, Social..",,['ory'],36,True,ory/kratos,,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2024-03-14 18:05:38.000000,2024-03-12 14:53:29,4165.0,103.0,893.0,109.0,1857.0,180.0,1054.0,10435.0,2024-02-20 12:26:07,1.1.0,44.0,327.0,327.0,220.0,,,1613875.0,1.0,38177.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2024-02-20 12:26:07.173920,17.0,112917890.0,,,,https://k8s.ory.sh/helm/charts,,,,,,,
18,casl,https://github.com/stalniy/casl,authorization,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,,,35,True,stalniy/casl,@casl/ability,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2024-03-12 07:26:36.000000,2024-03-12 07:23:43,1554.0,28.0,251.0,40.0,386.0,10.0,437.0,5479.0,2024-02-23 20:35:37,@casl/ability@6.7.0,100.0,67884.0,67884.0,68.0,https://www.npmjs.com/package/@casl/ability,2288906.0,2288906.0,2.0,,,,,,,,,,,,,,,,,
19,casbin,https://github.com/casbin/casbin,authorization,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",,,34,True,casbin/casbin,casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2024-03-13 08:45:44.000000,2024-03-13 08:41:53,1088.0,8.0,1571.0,232.0,489.0,46.0,744.0,16664.0,2024-03-13 08:43:15,2.84.1,100.0,2758.0,2758.0,141.0,https://www.npmjs.com/package/casbin,195501.0,294337.0,2.0,,,,,,,casbin,https://pypi.org/project/casbin,98836.0,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,
20,face-api-js,https://github.com/justadudewhohacks/face-api.js,face,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,34,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3537.0,337.0,109.0,434.0,390.0,15968.0,2020-03-22 14:01:55,0.22.2,38.0,8533.0,8533.0,25.0,https://www.npmjs.com/package/face-api.js,151277.0,151277.0,2.0,,,,,,,,,,,,,,,,,
21,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,34,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2024-03-14 17:38:05.000000,2024-03-14 11:05:05,8151.0,580.0,554.0,59.0,5842.0,313.0,1433.0,4313.0,2024-03-04 23:44:40,ockam_v0.117.0,100.0,183.0,183.0,309.0,,,12995.0,2.0,350870.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,
22,cas,https://github.com/apereo/cas,idp,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,,,33,True,apereo/cas,,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2024-03-14 17:44:41.000000,2024-03-14 17:24:52,24992.0,699.0,3831.0,605.0,4675.0,,,10713.0,2024-03-01 14:37:08,7.0.2,100.0,21.0,21.0,347.0,,,6136.0,2.0,,apereo/cas,https://hub.docker.com/r/apereo/cas,2024-03-14 00:34:41.399381,129.0,920508.0,,,,,,,,,,,
23,spicedb,https://github.com/authzed/spicedb,authorization,"Open Source, Google Zanzibar-inspired permissions database to enable fine-grained access control for customer..",,,33,True,authzed/spicedb,,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2024-03-14 15:33:27.000000,2024-03-14 13:48:10,3625.0,235.0,236.0,37.0,1350.0,99.0,325.0,4365.0,2024-03-05 22:50:13,1.29.5,68.0,46.0,46.0,43.0,,,67085.0,2.0,51430.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2024-03-05 22:50:13.104070,7.0,2026527.0,,,,,,,,,,,
24,pomerium,https://github.com/pomerium/pomerium,machine,Pomerium is an identity and context-aware access proxy.,,,33,True,pomerium/pomerium,,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2024-03-13 15:23:23.817631,2024-03-08 23:04:25,3378.0,131.0,274.0,38.0,4017.0,75.0,884.0,3814.0,2024-03-13 15:14:20,0.25.1,100.0,16.0,16.0,91.0,,,21089772.0,2.0,54017.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2024-03-13 15:23:23.817631,10.0,1307500232.0,,,,,,,,,,,
25,ageitgey-face-recognition,https://github.com/ageitgey/face_recognition,face,The worlds simplest facial recognition api for Python and the command line.,,,32,False,ageitgey/face_recognition,,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2024-02-24 12:51:59.000000,2022-06-10 09:12:18,238.0,,13002.0,1565.0,227.0,731.0,584.0,51354.0,2018-04-02 17:18:43,1.2.2,2.0,21.0,21.0,54.0,,,102874.0,2.0,1227.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,16.0,7540.0,face_recognition,https://pypi.org/project/face_recognition,102771.0,,,,,,,,
26,paddlespeech,https://github.com/PaddlePaddle/PaddleSpeech,voice,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",,,32,True,PaddlePaddle/PaddleSpeech,,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2024-03-14 13:26:52.000000,2024-03-04 02:55:39,4740.0,4.0,1728.0,183.0,1692.0,454.0,1358.0,9894.0,2023-04-14 09:36:52,r1.4.1,15.0,95.0,95.0,136.0,,,263934.0,3.0,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,263934.0,,,,,,,,
27,casdoor,https://github.com/casdoor/casdoor,idp,An open-source UI-first Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting..,,,32,True,casdoor/casdoor,,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2024-03-13 16:07:59.000000,2024-03-13 15:59:05,2344.0,213.0,971.0,60.0,1425.0,112.0,1136.0,8267.0,2024-03-13 16:08:01,1.567.1,100.0,3.0,3.0,169.0,,,3457.0,2.0,,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2024-03-13 15:49:49.236189,13.0,141770.0,,,,,3.0,,,,,,
28,spire,https://github.com/spiffe/spire,machine,The SPIFFE Runtime Environment.,,"['cncf', 'linux-foundation']",32,True,spiffe/spire,,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2024-03-14 17:47:38.000000,2024-03-14 17:37:33,6491.0,162.0,433.0,78.0,3613.0,147.0,1215.0,1645.0,2024-03-05 22:56:54,1.9.1,99.0,138.0,138.0,185.0,,,2830.0,2.0,217938.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,
29,authelia,https://github.com/authelia/authelia,idp,The Single Sign-On Multi-Factor portal for web apps.,,,31,True,authelia/authelia,,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2024-03-14 17:16:47.000000,2024-03-14 12:05:12,5447.0,373.0,996.0,157.0,5255.0,65.0,1122.0,19076.0,2024-03-14 11:19:46,4.38.0,100.0,,,151.0,,,712.0,2.0,34925.0,,,,,,,,,,3.0,,,,,,
30,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],31,True,dexidp/dex,,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2024-03-14 16:26:05.000000,2024-03-12 10:01:20,2791.0,166.0,1514.0,173.0,2095.0,291.0,806.0,8891.0,2024-01-25 14:31:22,2.38.0,81.0,154.0,154.0,234.0,,,3.0,2.0,307.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,
31,boundary,https://github.com/hashicorp/boundary,machine,Boundary enables identity-based access management for dynamic infrastructure.,,['hashicorp'],31,False,hashicorp/boundary,,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2024-03-14 17:19:46.000000,2024-03-14 14:09:51,4038.0,452.0,256.0,199.0,4191.0,80.0,251.0,3776.0,2024-03-11 17:34:03,0.15.2,53.0,8.0,8.0,155.0,,,262165.0,3.0,,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2024-03-11 17:36:02.634331,12.0,13108294.0,,,,,,,,,,,
32,logto,https://github.com/logto-io/logto,idp,The better identity infrastructure for developers and the open-source alternative to Auth0.,,,30,True,logto-io/logto,,https://github.com/logto-io/logto,MPL-2.0,2021-06-19 03:01:50,2024-03-14 14:44:23.000000,2024-03-14 02:50:30,5776.0,402.0,311.0,40.0,5092.0,77.0,274.0,7023.0,2024-03-01 07:10:09,1.14.0,55.0,11.0,11.0,49.0,,,1598.0,2.0,2815.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2024-03-01 07:08:17.094617,2.0,48719.0,,,,,,,,,,,
33,insightface,https://github.com/deepinsight/insightface,face,State-of-the-art 2D and 3D Face Analysis Project.,,,29,False,deepinsight/insightface,,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-12-24 05:29:03.000000,2023-12-24 05:29:03,2283.0,2.0,5024.0,498.0,152.0,1029.0,1353.0,20762.0,2023-04-02 07:43:27,0.7,1.0,1792.0,1792.0,58.0,,,212833.0,2.0,2341162.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,,141.0,,,,,-2.0,,,,,,
34,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,29,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2024-03-14 11:35:16.000000,2024-03-13 08:57:15,2406.0,17.0,1005.0,107.0,830.0,30.0,836.0,5241.0,2024-02-14 08:01:40,.5.6.9,65.0,8563.0,8563.0,321.0,,,,3.0,,,,,,,,,,,,,,,doorkeeper,,
35,keto,https://github.com/ory/keto,authorization,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",,['ory'],29,True,ory/keto,,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2024-03-05 09:59:17.000000,2024-03-05 09:59:16,1505.0,23.0,323.0,57.0,1122.0,35.0,274.0,4554.0,,,52.0,26.0,26.0,71.0,,,707129.0,3.0,21006.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2024-02-01 15:34:43.379158,7.0,50889722.0,,,,,,,,,,,
36,oso,https://github.com/osohq/oso,authorization,Oso is a batteries-included framework for building authorization in your application.,,,29,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2024-03-13 15:25:23.000000,2024-01-13 04:41:13,1213.0,10.0,167.0,31.0,1526.0,108.0,101.0,3363.0,2024-01-13 04:08:30,0.27.3,100.0,83.0,83.0,66.0,,,37233.0,3.0,2715.0,,,,,,oso,https://pypi.org/project/oso,37160.0,,,,,,,,
37,oathkeeper,https://github.com/ory/oathkeeper,machine,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",,['ory'],29,True,ory/oathkeeper,,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2024-03-12 20:48:15.000000,2024-02-29 16:18:26,1361.0,7.0,327.0,48.0,720.0,53.0,277.0,3178.0,2024-02-29 16:17:31,0.40.7,100.0,3.0,3.0,110.0,,,1128383.0,3.0,36199.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2024-02-29 16:17:31.079046,36.0,87976814.0,,,,,,,,,,,
38,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],29,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-03-08 17:14:04.000000,2024-03-08 07:54:42,3050.0,77.0,291.0,78.0,846.0,289.0,620.0,1762.0,2024-03-08 08:15:27,5.7.9,53.0,3.0,3.0,86.0,https://www.npmjs.com/package/solid-server,749.0,9478.0,1.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-03-08 08:18:17.013317,5.0,995215.0,,,,,5.0,,,,,,
39,identity-server,https://github.com/DuendeSoftware/IdentityServer,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,29,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/IdentityServer,https://duendesoftware.com/license,2020-10-01 08:46:31,2024-03-14 14:19:34.000000,2024-03-12 18:15:44,5275.0,77.0,291.0,41.0,774.0,55.0,261.0,1296.0,2024-02-09 14:54:54,7.0.1,54.0,1720.0,1720.0,297.0,,,,3.0,,,,,,,,,,,,,,,,,
40,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],29,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-03-14 16:32:54.000000,2024-03-14 12:12:32,618.0,6.0,64.0,40.0,215.0,4.0,85.0,317.0,2024-03-14 12:12:59,8.0.2,100.0,4566.0,4566.0,41.0,https://www.npmjs.com/package/did-jwt,200342.0,200342.0,1.0,,,,,,,,,,,,,,,,,
41,faceswap,https://github.com/deepfakes/faceswap,face,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-03-13 18:21:16.000000,2024-03-13 18:21:04,1791.0,8.0,12697.0,1524.0,517.0,16.0,829.0,48788.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,4340.0,3.0,264800.0,,,,,,,,,,-2.0,,,,,,
42,deepfacelab,https://github.com/iperov/DeepFaceLab,face,DeepFaceLab is the leading software for creating deepfakes.,,,28,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,9300.0,1116.0,131.0,541.0,801.0,44873.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3666.0,3.0,175994.0,,,,,,,,,,,,,,,,
43,openface,https://github.com/cmusatyalab/openface,face,Face recognition with deep neural networks.,,,28,True,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3499.0,761.0,74.0,10.0,370.0,15029.0,2016-02-25 17:42:46,0.2.1,4.0,70.0,70.0,30.0,,,1581.0,3.0,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,70.0,161322.0,,,,,,,,,,,
44,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2024-03-14 17:49:08.000000,2024-03-14 17:46:58,6489.0,94.0,553.0,137.0,4437.0,201.0,2727.0,4952.0,2024-03-12 22:12:00,release-2024-03-12,100.0,,,131.0,,,20757.0,2.0,66148.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2024-03-05 20:31:13.477384,13.0,1970387.0,,,,,,,,,,,
45,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2024-03-13 07:14:35.000000,2024-03-12 18:32:17,1565.0,104.0,109.0,29.0,1680.0,37.0,291.0,2368.0,2024-02-20 09:17:15,0.34.0,57.0,19.0,19.0,27.0,,,1606.0,3.0,57831.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
46,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2024-03-11 19:40:21.000000,2024-03-11 00:34:16,474.0,25.0,66.0,29.0,144.0,5.0,47.0,191.0,2024-02-14 22:03:28,10.1.5,59.0,1477.0,1477.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,16290.0,16290.0,2.0,,,,,,,,,,,,,,,,,
47,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,27,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2024-03-14 17:55:34.000000,2024-03-14 15:29:24,2923.0,175.0,381.0,39.0,5030.0,497.0,1527.0,6485.0,2024-03-12 19:59:56,2.44.4,100.0,,,101.0,,,499.0,3.0,2496.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,
48,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2024-03-14 18:13:06.000000,2024-03-14 17:10:42,13889.0,691.0,467.0,37.0,6786.0,511.0,1389.0,6005.0,2024-03-04 19:38:33,ersion/2024.2.2,100.0,,,217.0,,,99.0,3.0,2894.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
49,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,27,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2024-02-07 07:28:03.000000,2024-02-07 07:27:50,2459.0,24.0,739.0,69.0,243.0,,,2984.0,2024-01-17 08:17:36,8.4.5,100.0,3.0,3.0,72.0,https://www.npmjs.com/package/oidc-provider,194643.0,194643.0,3.0,,,,,,,,,,,,,,,,,
50,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure and fast identity management platform.",,,27,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2024-03-14 15:04:25.000000,2024-03-13 00:38:24,1845.0,125.0,130.0,18.0,1849.0,170.0,565.0,1942.0,2024-02-07 04:43:11,1.1.0-rc.16,18.0,42.0,42.0,71.0,,,3630.0,3.0,255.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2024-03-02 02:12:45.117009,,221218.0,,,,,,,,,,,
